"primary","celllinename","tissue","gcell_gene__nrpkm_ALK","gcell_gene__nrpkm_APC","gcell_gene__nrpkm_ARID1A","gcell_gene__nrpkm_BCL6","gcell_gene__nrpkm_BRAF","gcell_gene__nrpkm_CBL","gcell_gene__nrpkm_CDKN2A","gcell_gene__nrpkm_CIC","gcell_gene__nrpkm_CSMD3","gcell_gene__nrpkm_CTNNB1","gcell_gene__nrpkm_DAXX","gcell_gene__nrpkm_DNAH5","gcell_gene__nrpkm_DNAJB1","gcell_gene__nrpkm_DNMT3A","gcell_gene__nrpkm_EGFR","gcell_gene__nrpkm_ERBB2","gcell_gene__nrpkm_FBXW7","gcell_gene__nrpkm_GLI1","gcell_gene__nrpkm_IDH1","gcell_gene__nrpkm_KMT2D","gcell_gene__nrpkm_KRAS","gcell_gene__nrpkm_LGALS7","gcell_gene__nrpkm_MET","gcell_gene__nrpkm_MUC16","gcell_gene__nrpkm_NFE2L2","gcell_gene__nrpkm_NOTCH2","gcell_gene__nrpkm_PIK3CA","gcell_gene__nrpkm_PRCC","gcell_gene__nrpkm_PTEN","gcell_gene__nrpkm_RUNX1","gcell_gene__nrpkm_TET2","gcell_gene__nrpkm_TP53","gcell_gene__nrpkm_TP63"
"CL129264","NCI-H1437","Lung",0.00349432228892115,4.63288977625869,12.0001577904668,15.5720602211682,3.05718679757988,8.06402529579374,0,3.84939679767845,0,117.169812546604,15.8275027417978,2.36008020521918,39.0673939158722,2.92141584661764,11.2185274127164,24.9332606428625,2.69240749392649,0.00637307950648091,98.9615806060238,9.27783324905045,8.95986203116131,0,40.2470232168742,5.2063858944064,20.2477082161392,15.1124754247468,6.22442057591425,21.6656364966583,11.5442274233252,8.80492404525606,1.76435500550068,7.69927848931366,1.76590463566552
"CL131969","NCI-H1838","Lung",0.0128411966511061,3.39252202782694,16.5917317629084,7.58194327459651,5.05394290454784,11.7556861983791,0.0268253696275087,8.95445027532134,0.00315034937556896,90.2810778943045,29.389705702484,1.82560942717541,54.7633236519334,2.6662108668915,217.712305662202,31.7784469922913,3.80866921431911,0.0702608063446169,85.3251261542581,5.79368652905961,9.77700962524512,0,135.223036849747,0,20.2140231306642,16.4670512055087,3.39942896168771,55.1576368713328,2.87076921742525,16.0036493342548,0.727002315172075,61.8731719910228,0.0324473915379482
"CL586403","NCI-H1915","Lung",0.00592836835437093,5.86698953093327,11.0765752313587,2.10986002998547,2.68795926417399,14.9083275010889,28.3417273064172,8.9188654426571,0.0029088303918664,119.24175620752,30.59031269668,0.193824804613536,42.3317648823124,2.04118841291088,17.960120875371,4.44275096462451,2.87641544201237,6.3468708289225,32.2590145383045,9.87657574009,5.36507593476725,0,16.462604313831,0.0205232005165409,27.8756923911289,10.8738193948351,3.98371455886299,32.05816585594,5.1562734084601,10.9757199004362,0.730935473314284,0.973801966460245,0.656120464065878
"CL129190","NCI-H23","Lung",0.0366640710012291,2.94839304836334,19.6247086440524,3.23076205495012,3.77324295056258,6.30603576558942,10.9066378432823,6.75853971175163,0.00179896992971584,58.828579193272,43.135559946491,0.0510419311223214,74.9302031473882,4.19815907175661,3.11503874040003,6.97260572659937,2.78954016886425,1.87902856911291,36.5645983541167,7.22821143009054,14.3417398450315,0,7.75753970027158,0.0938148694609915,38.2631375187546,9.72523379032183,2.72566300406284,50.7836485903555,7.31532697772497,0.831057470920926,1.15318365248524,19.5004101754652,0.281636255436568
"CL586689","NCI-H2461","Lung",0.0135550817436433,7.55716342360632,15.5921772503622,4.55920604754536,3.64972625607134,7.75874998271033,0,14.6039627988545,0.133019513576858,58.7852356338748,39.4674606702386,0.223017642159136,83.4889974150686,3.05382791388119,82.4108572688367,16.8948996163351,5.78661679785855,0.463542748026105,52.7402966693525,13.2144055227932,4.63077893324715,0,78.2396699025997,0.0280534908792623,37.8516383633989,27.3195434986265,3.50239095572259,45.6215674981961,8.59841278157099,9.54593461067936,0.919481422044147,27.2755612908269,0.0102753751838308
"CL586688","NCI-H290","Lung",0,6.6113170974162,14.4620803778876,0.665059594868703,3.79579744051005,8.74848337170356,0,3.95625881081087,0.468030972144867,77.9221501387246,30.6505479160821,0.0998776100513583,42.7710059604732,4.93634797689855,8.70768232629004,17.3581978337401,6.46010173440361,1.25785046437937,46.6526215337902,6.70741692409547,23.1339270772927,0,31.2249595102505,0.000516450438967727,14.9776536104604,33.4617249819104,5.37287615359019,51.5140965999131,5.35951680774184,5.95812751961379,1.30224196569999,22.8555338409623,0.0416161699932136
"CL585322","NCI-H446","Lung",0.083334750354659,5.70370681332646,37.1776615430929,1.78452143106702,5.98998661792302,11.4782131698164,60.7051631048734,20.0382081031458,1.30124088769934,79.0769150804595,59.4222744266767,0.0889238269698186,40.4772577824686,5.68979226677627,0.146911014410453,144.193078661283,2.62867224468651,0.0715242944545778,26.5874004010627,9.99303306110246,5.74235668011908,0,2.85881182789461,0.000737835062385183,19.2468387772309,0.788413623780012,2.3500996923769,67.5913756733292,1.1800597397029,0.820592306113075,2.52448103667685,41.3529594977441,0.047069014618844
"CL132330","NCI-H727","Lung",0.980886650988583,4.72165969887063,16.5251453151091,1.87866190225654,3.90611595083152,7.60944016715044,9.41135513078301,3.18194805889921,0.0580443842299336,112.64072383287,13.413135107407,0.291116120761731,33.7687896161667,1.87728294379274,26.0563023164628,5.44179683086071,4.77253602574221,0.00898984338627555,57.3479573750716,7.21323663976952,31.7682696541408,0,52.6657684140945,0.000741904183055788,26.6601255821263,1.15880725528024,4.34002312254632,26.9478349548351,4.41856927121034,13.0084365789804,1.49658312016884,25.0249238300467,0.214224179072063
"CL129191","NCI-H838","Lung",0,2.78505377165842,20.5471740473747,2.14490941798675,3.62697881292371,11.1604335487868,0.0218329090643326,7.52780166015737,0,114.930860868762,33.3166685697698,0.390199879202627,87.3336407288632,2.39952282983808,7.26638388831361,21.2420913839078,2.68708875173969,0.195380686570798,24.1551539162956,8.76000756912972,45.2218023457336,0,16.0285784551488,0.133712616004846,26.7620689520846,46.9672693705998,5.48614868269833,41.6178497707176,7.07246759607686,6.46866021054952,2.11587593399442,2.25446662751623,0.00792258550759748
"CL131718","NCI-H1155","Lung",1.37753568098578,3.24188693330601,26.2096374036387,0.646406864568703,4.35228404400393,10.5504738874549,36.1080802983946,18.2631551971787,0.685561443072034,42.3159960820288,54.0475240193073,0.0138364933399451,38.330677935581,5.53659290474551,3.13016568100868,1.33687206664624,11.2964055846289,0.0598191096192925,17.3199778299796,15.4540813734938,6.62958922292473,0,0.0420388205259935,0.00246834376008036,17.8114613623995,1.95797614195466,3.11149365117604,37.8047224470493,0.898578848385518,0.265325430394942,2.87885189814559,14.657774583665,0
